variant,axis_cos_vs_primary_A,axis_cos_vs_primary_B,recovery_r,sign_check
single_cond_0,0.8822472539082702,0.894461918241809,0.9652396188773864,PASS
single_cond_1,0.908400100812242,0.9310141892525335,0.9755450013911466,PASS
single_cond_2,0.8545279411662795,0.8852503297746934,0.9496643934286136,PASS
single_cond_3,0.7821038818701368,0.7553077285513999,0.9714540199400322,PASS
single_cond_4,0.8303474761358967,0.8736328389185414,0.9773246144429776,PASS
loo_cond_0,0.989414863923648,0.9894978379719669,0.9779604185828161,PASS
loo_cond_1,0.9943772072286658,0.9953845984884938,0.97521737443668,PASS
loo_cond_2,0.9918353029846324,0.993434663695364,0.9773394365784043,PASS
loo_cond_3,0.9718807972614181,0.9773739086260977,0.9752880669272367,PASS
loo_cond_4,0.9880326563115864,0.9907848535550234,0.9746113092671844,PASS
