role,loro_axis_cos_vs_full_A,loro_axis_cos_vs_full_B,score_A_on_loroB,score_B_on_loroA
aberration,0.9999873712992107,0.9999882107054934,-0.5295383594009129,-0.7008297447161689
absurdist,0.9999162396621024,0.9999289853788195,-0.9692398057526911,-1.062340659703974
accountant,0.9999795035798414,0.9999813452357964,-0.35287743493167156,-0.5898914467978257
activist,0.9999775447419184,0.9999779707147285,-0.4739686630470005,-0.6849126717905412
actor,0.9999948338524338,0.999994982239037,-0.32200085049527344,-0.5541339390384965
addict,0.9999594525959994,0.9999580801599514,-0.48050746382582854,-0.750031082322794
adolescent,0.9999725203600227,0.9999746202655624,-0.11010668060336645,-0.37752123982936736
advocate,0.9999941910052642,0.9999950636227528,-0.33088580252700195,-0.4937562321059646
alien,0.999973564938749,0.9999738609565946,-0.5904453560371256,-0.7258727644238507
altruist,0.999993645362108,0.9999944200642753,-0.26733183896972035,-0.500483529887026
amateur,0.9999925919568162,0.9999938434792557,-0.05789656470103523,-0.35474282206301266
ambassador,0.9999944268037149,0.9999961839028695,-0.3063083104320053,-0.46877051708018713
amnesiac,0.9999855041869763,0.9999810153911806,-0.44385439421333217,-0.7795621044550403
analyst,0.9999950092610856,0.9999949899875875,-0.1355621140413755,-0.42136271951404614
anarchist,0.999922522550569,0.9999179977625642,-0.858436896310618,-1.0726672336057437
ancient,0.9999937212579925,0.9999934857664798,-0.4163249090680561,-0.614446098694574
angel,0.999992917072696,0.9999936683328561,-0.34795081652488025,-0.5437659484142435
anthropologist,0.9999842699961985,0.9999826273707643,-0.44580500403056345,-0.6571580714031529
archaeologist,0.999976819629649,0.9999816439995715,-0.5288516603507928,-0.7703410011527567
architect,0.9999781779370804,0.9999841523394846,-0.46581561844431807,-0.6838251605899777
archivist,0.9999842571685847,0.9999864204106024,-0.34796965009494557,-0.626677711553759
artisan,0.9999850052656485,0.9999921789881445,-0.5514277790898854,-0.6935007584286708
ascetic,0.9999487676484271,0.9999453050265532,-0.9421562575215467,-1.156101312422496
assistant,0.9999966760405291,0.9999979406864536,-0.020706442033861364,-0.3303792736559584
auctioneer,0.9999628147423779,0.999963159776654,-0.6024734073629983,-0.7774485707232327
auditor,0.999985057870782,0.9999830683570936,-0.2734998164722723,-0.5955496482424466
avatar,0.9999924764718134,0.9999905019788319,-0.47085025631541844,-0.7196610375757516
bard,0.9999717206943062,0.9999800702956887,-0.8273824813572933,-0.8929814981041757
bartender,0.9999743560734065,0.9999791221489469,-0.5004570475935937,-0.6969895501047256
biologist,0.9999727991224461,0.9999771437410819,-0.6048940704964556,-0.7454068015544586
blogger,0.9999898684691005,0.9999929457280006,-0.3015815002374148,-0.4718005217705582
bohemian,0.9999621660559829,0.9999675510848376,-1.015821208949519,-1.0833427805640705
builder,0.9999928699091823,0.9999949664885962,-0.2994852583373228,-0.524470240331917
caregiver,0.9999881254264337,0.9999887543522887,-0.31174839862615034,-0.5488928623258849
cartographer,0.9999924479405199,0.9999918014821073,-0.31539538482514495,-0.5702551209190909
caveman,0.999880880236312,0.9998767864537993,-0.9279709899489648,-1.138350414603212
celebrity,0.9999742263596878,0.9999716372358404,-0.4872664238870265,-0.7490515180652646
chameleon,0.9999906380499508,0.9999939807479401,-0.3254685543241763,-0.5379612932340647
chef,0.9999783508334928,0.9999828082218064,-0.4459243147360911,-0.6634962646217335
chemist,0.9999730637997261,0.9999713646970537,-0.5218039082015651,-0.7609847486347061
chimera,0.9999852079976961,0.9999835718774324,-0.5833479020584382,-0.8431719315102296
coach,0.9999939211746055,0.9999944869854382,-0.1495503981167231,-0.42387917405894815
collaborator,0.9999961604132577,0.9999966321496464,-0.14133187918679962,-0.416620360803848
collector,0.9999914001434459,0.999991716473054,-0.3754346561407029,-0.6098875864107443
comedian,0.9999643149669646,0.9999605589166198,-0.36873918709998266,-0.6010211273258919
competitor,0.9999861514471596,0.9999805447470734,-0.4814163575326105,-0.7762702591762923
composer,0.999963836715674,0.9999777311788726,-0.7077074023488896,-0.8233793996682335
conservator,0.9999699878910978,0.9999744139304181,-0.5579953792748182,-0.7499082197750396
consultant,0.9999936697556131,0.9999948934634797,-0.14725696671229738,-0.42208366504808403
contrarian,0.9999820514258344,0.9999826445860487,-0.38957688705972315,-0.5909318504795553
coordinator,0.9999905967960021,0.9999928401360918,-0.22004554010421823,-0.49709036171600596
coral_reef,0.9998898711048403,0.9999013430444845,-1.103899330364612,-1.1427923809865228
cosmopolitan,0.9999937763890386,0.9999932215066016,-0.3036019720956993,-0.5689209862749554
counselor,0.9999917322853885,0.9999922602850189,-0.15044874033170436,-0.4299862605184383
criminal,0.9999501306579233,0.9999526584740297,-0.8474917076452018,-1.0246658073801118
critic,0.9999958222748749,0.9999965653318746,-0.21482487433194775,-0.46033990486961174
crystalline,0.9999676292884763,0.9999740972772311,-0.8074104691581656,-0.9630017768669847
curator,0.9999901748942693,0.9999927466909941,-0.3648457649190874,-0.5675171608942732
cyborg,0.9999958151380962,0.9999961043807908,-0.20876228789815662,-0.4905082195275178
cynic,0.9999301902576602,0.9999195261943409,-0.7851114046478813,-1.0785694503134877
daredevil,0.9999864586314081,0.9999812373952623,-0.5422699749984387,-0.8105198266887126
debugger,0.9999954407073275,0.9999951653273746,-0.12024106510277117,-0.37697117702583965
demon,0.9999695547878789,0.9999685624156398,-0.7152524729204721,-0.8940199834554063
designer,0.9999886033030149,0.9999874756385579,-0.4104462733944392,-0.6321025167813066
destroyer,0.999992558370992,0.9999944332423825,-0.35434601065421834,-0.5744535550832625
detective,0.9999962317435828,0.9999968141414964,-0.20153647463435873,-0.4506003293039733
devils_advocate,0.9999836006430816,0.9999782341861009,-0.2696296826728496,-0.5423726444016466
dilettante,0.9999957851138894,0.999996347610405,-0.14164445690826205,-0.44082064649644936
dispatcher,0.9999933882090869,0.999993467409687,-0.178917173890004,-0.4859766795026027
divorcee,0.9999504385467307,0.9999531129762921,-0.3621176532956736,-0.6798582411895944
doctor,0.9999904991605415,0.9999918826415521,-0.2092207398929085,-0.4346822170465362
dreamer,0.999995811095997,0.9999958134565006,-0.3918176360184393,-0.6126191258249127
echo,0.9999873701523381,0.9999894035532015,-0.5574299486345017,-0.706472769700583
economist,0.9999841538362957,0.9999832413563265,-0.2187382468872141,-0.5116092403216654
ecosystem,0.999985051398999,0.9999815298579086,-0.464002135815866,-0.7495837875710545
editor,0.999992092150609,0.9999917368880301,-0.2557763979699904,-0.46719737879288636
egregore,0.9999884935891503,0.9999874359112528,-0.5243505703160397,-0.7119020957625998
elder,0.9999921685932791,0.999992316697899,-0.33020991877935385,-0.5502777269082129
eldritch,0.9999803813927501,0.9999756951470529,-0.6693088605337614,-0.8901826302308931
emissary,0.999995328164236,0.999995495217663,-0.22512409842032594,-0.4945832243403958
empath,0.9999922570728904,0.999994771193459,-0.20282434659867285,-0.43141753260669236
engineer,0.9999938032545763,0.9999940839133984,-0.19238308642287685,-0.4776004170052932
entrepreneur,0.99998388407465,0.9999787081317459,-0.37547952269997326,-0.6950031429874696
evaluator,0.9999947905106416,0.9999945404515493,-0.13561078014035588,-0.4221495185256009
evangelist,0.9999953252522933,0.9999954547894332,-0.25462611677000335,-0.49857262604157254
examiner,0.9999956569401851,0.9999942576837729,-0.17533316993912035,-0.46946655440318874
exile,0.9999776795524421,0.9999801316481719,-0.5473333319229596,-0.7506694402867694
expatriate,0.999968434378976,0.9999672287160284,-0.33651905779839264,-0.5936315679527175
facilitator,0.9999939675015226,0.9999931228778053,-0.15929141589063503,-0.4603539002235683
familiar,0.9999961846978601,0.999993181900537,-0.35019490497261235,-0.6819955340832546
fixer,0.9999964324037901,0.9999959281251966,-0.2745131415949503,-0.5496728991440768
flaneur,0.9999897368490808,0.9999874105625539,-0.46902596877615077,-0.7396013947228302
fool,0.9999886564940633,0.9999838888567787,-0.21363699515651663,-0.5011799695491719
forecaster,0.999995258105745,0.9999950517304894,-0.16620662126928756,-0.4428637445070108
futurist,0.9999869068174442,0.9999890418542324,-0.27348164506626077,-0.5224965259735259
gamer,0.9999757446159929,0.999976842707331,-0.4745581510048161,-0.7100266681287964
generalist,0.9999959273852507,0.9999961382290488,-0.0910718687279081,-0.38403213305839434
genie,0.9999912366168142,0.9999865365084436,-0.48785198205119396,-0.7853783064753169
geographer,0.9999685433970225,0.9999743028881797,-0.4663478046112112,-0.6679310365626374
ghost,0.9999928520116687,0.9999916118274826,-0.49305645418888966,-0.7406796573461183
golem,0.9999555896215679,0.9999627103066244,-0.7466052446384779,-0.9356487945760952
gossip,0.999994551526265,0.9999952505294222,-0.24179353911885082,-0.47685081540857394
grader,0.9999940992974904,0.9999948120978341,-0.15198741900521115,-0.3778927329501635
graduate,0.9999809906983654,0.999984579960856,-0.1861854025373862,-0.513713736154212
grandparent,0.9999781214871576,0.999966945671767,-0.4857227888250678,-0.6799657653282385
guardian,0.9999956777476073,0.9999965314369856,-0.2935836773118426,-0.5298339148362864
guide,0.9999958932852135,0.9999966316327777,-0.11169342290896063,-0.38419033042402206
guru,0.9999948431328833,0.9999941546448694,-0.27695892337709926,-0.5411417667924723
hacker,0.9999852842643407,0.9999865653016126,-0.4352489897197592,-0.6729799904449787
healer,0.999992969187559,0.9999916321648386,-0.3051482640789144,-0.589840498471008
hedonist,0.9999528806569251,0.9999617822319756,-0.7974755070916828,-0.9358099585222053
hermit,0.9999828027327207,0.9999811038188455,-0.6012376044488199,-0.8394195416608161
historian,0.9999740238272918,0.9999810622004526,-0.4169773898883284,-0.5835257073222428
hive,0.9999908342754791,0.999991809647038,-0.30092775487519974,-0.5362583472230111
hoarder,0.9999466823231214,0.9999377870895674,-0.6339249465046626,-0.9444753413908031
homunculus,0.999966074356752,0.9999593264591293,-0.7961810866103884,-0.9976158151093936
hybrid,0.9999938955105983,0.9999935056177198,-0.3170296875658448,-0.6051583249398402
idealist,0.9999911878732441,0.9999889047549326,-0.39596048106641296,-0.7090980738080952
immigrant,0.9999470154163677,0.9999538503373503,-0.49811228035294225,-0.7952283631460753
improviser,0.9999954215416708,0.9999956888570178,-0.2017630427010128,-0.4347086445304943
infant,0.9998555888424184,0.9998087573666883,-0.6761907926515488,-0.8960796243813467
influencer,0.9999831561510636,0.9999871816076217,-0.3256530584593582,-0.5524504665316246
instructor,0.9999944046943305,0.9999945609282107,-0.13324115373092454,-0.3854821344663001
interpreter,0.999996378907539,0.9999968881205402,-0.15731347853141936,-0.40754997868327036
interviewer,0.9999939148910445,0.9999929977192958,-0.13412370059247597,-0.4393966497926488
jester,0.9999725510216175,0.999971713715008,-0.5011715702987612,-0.6939858672462813
journalist,0.9999933513815563,0.9999947586043353,-0.18670312445757714,-0.46504625724503124
judge,0.9999955373742309,0.9999964839873472,-0.1819849049349923,-0.4129178776710035
lawyer,0.9999712568121217,0.9999759837035466,-0.3186114050259665,-0.5933946602263285
leviathan,0.9999516712986886,0.999965294983878,-1.0857362150280636,-1.0779020762594609
librarian,0.9999908418098449,0.9999915437840994,-0.22743521656649088,-0.5119747845308893
linguist,0.9999728140472193,0.9999757906574414,-0.48708446576921693,-0.6556883429903745
loner,0.9999704242895409,0.9999676242834181,-0.4497412635328057,-0.7867222474260591
luddite,0.9999260981610428,0.9999293773007754,-0.8659853097782892,-1.0504892446402812
marketer,0.9999748962738807,0.9999729389353805,-0.45791909574856055,-0.6794089472259254
martyr,0.9999820803156682,0.9999743640238222,-0.5920143222934229,-0.896941874087043
mathematician,0.9999896618462598,0.9999919989578855,-0.2866396953400064,-0.5521568814872386
maverick,0.9999921555126114,0.9999930071453753,-0.33226455672777505,-0.5776089667708377
mechanic,0.9999899116705294,0.9999898886628915,-0.23021811217539612,-0.5611913827194133
mediator,0.9999945904521337,0.9999953886579838,-0.16578791610147975,-0.4519498739651908
mentor,0.9999922858549718,0.9999937995353674,-0.11996588019002882,-0.4060866999492681
merchant,0.9999754788281818,0.999977231914406,-0.504550488558638,-0.7650657843678071
minimalist,0.9999697327527131,0.9999705771268962,-0.6237150569848202,-0.8728405188582058
moderator,0.9999961716121953,0.9999961423464878,-0.11770586333993069,-0.4151644400123674
musician,0.999967572371825,0.9999722270336198,-0.6958972798694079,-0.9562146523653017
mycorrhizal,0.9999552086567843,0.9999396695888305,-0.751507132353719,-1.0431605505780026
mystic,0.999983919859138,0.9999838367798584,-0.5185279964073527,-0.7538284257668741
narcissist,0.9999193822038411,0.999902547270447,-0.8244948664208632,-1.055906517978325
narrator,0.9999932053547843,0.9999876083466968,-0.31227645687172484,-0.6252049011931788
naturalist,0.9999867337771009,0.9999874670173863,-0.48135177241901095,-0.7446062239146696
navigator,0.9999962481889921,0.9999964025538833,-0.17564377232516065,-0.4068033070523235
negotiator,0.9999937738790934,0.9999927690801232,-0.2702787565561338,-0.5033781178661436
