role,mean_len_A,mean_len_B,score_A_on_axisB,score_B_on_axisA
aberration,1099.7375,1106.475,-0.5336635752146713,-0.7048749534695761
absurdist,1154.75,1138.2875,-0.9775685967218284,-1.0689263377988407
accountant,1197.2625,1171.9,-0.3550730276045665,-0.5918110430307385
activist,1160.85,1242.8,-0.48236488669660327,-0.6945085081950642
actor,1116.725,1146.1625,-0.3228886211560635,-0.5554800356148615
addict,1103.2625,1156.4375,-0.4905827811321722,-0.7598205358538707
adolescent,1233.1625,1160.925,-0.11269676375384906,-0.3824491297738253
advocate,1183.425,1178.475,-0.3325780938936075,-0.4963083313593007
alien,1130.4125,1116.6375,-0.5955894504150528,-0.7311035060108518
altruist,1181.5125,1178.775,-0.270536171995099,-0.5039401415802484
amateur,1284.7125,1227.5,-0.05731233858756289,-0.355552481476065
ambassador,1098.9625,1131.025,-0.30655665206426574,-0.471373830630087
amnesiac,1177.8375,1111.3125,-0.4482713725789842,-0.7831126670803431
analyst,1235.8625,1250.6875,-0.13630098643194927,-0.42172240994478244
anarchist,1100.55,1116.625,-0.8810219128262546,-1.0929670295843663
ancient,1158.35,1174.5,-0.41755543721577787,-0.6154043287769356
angel,1174.5375,1123.6375,-0.35047420029899734,-0.5470387155692105
anthropologist,1208.0875,1174.7125,-0.4531003679948772,-0.6625501050147479
archaeologist,1180.6,1130.2625,-0.5329954994554945,-0.7729634801536738
architect,1194.2875,1189.7,-0.47058186584160483,-0.6865518360399556
archivist,1186.3375,1199.8875,-0.35046408579200883,-0.629754663553812
artisan,1172.5875,1142.2,-0.5538715063142055,-0.6944169552206024
ascetic,1093.3,1087.9375,-0.9563443475812734,-1.1697057704288554
assistant,1199.8625,1162.075,-0.021445109205423696,-0.33173610225153133
auctioneer,1188.2625,1081.525,-0.6067628117702926,-0.7799485582016251
auditor,1161.9875,1174.2625,-0.277061060753029,-0.599037868015116
avatar,1122.5375,1140.7375,-0.47474858206224474,-0.7239918136034647
bard,1133.3625,1109.05,-0.8304890334821972,-0.8943803574730421
bartender,1157.7875,1111.0375,-0.5037025870259652,-0.6986417592740325
biologist,1123.1625,1152.0375,-0.6080335752849819,-0.7506199423649557
blogger,1213.45,1207.9625,-0.30149104359879375,-0.4721449241145468
bohemian,1065.6125,1095.2125,-1.0259941146372973,-1.0946160959272269
builder,1207.6875,1208.0125,-0.30035835234555175,-0.525306199751711
caregiver,1144.975,1110.4125,-0.31569064770709354,-0.5531163203448006
cartographer,1202.6375,1193.9,-0.31440118354430613,-0.5702394477837192
caveman,1016.925,980.3875,-0.9476999433751444,-1.1561063998943841
celebrity,1113.8125,1057.3875,-0.4964658766763924,-0.756924829699368
chameleon,1135.8375,1139.425,-0.327410303506531,-0.5415725687787397
chef,1143.525,1137.5125,-0.4455773331020056,-0.6625383359810086
chemist,1305.225,1144.1625,-0.5248219397680187,-0.7629653541997788
chimera,1100.0,1088.2875,-0.5890744485579134,-0.848810420184472
coach,1204.225,1220.5875,-0.15093494956296294,-0.42631547511270473
