item_id,l1_round1_label,l2_round1_label,l1_final_label,l2_final_label,l1_round1_validity,l2_round1_validity,l1_final_validity,l2_final_validity,gold_label,gold_validity,status,resolution
G000,3,1,3,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G001,2,3,2,1,ok,ok,ok,unjudgeable,3,ok,adjudicated,human_adjudicated
G002,3,1,3,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G003,3,2,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G004,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G005,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G006,2,1,2,1,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G007,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G008,3,2,3,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G009,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G010,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G011,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G012,3,1,2,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G013,3,2,3,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G014,2,1,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G015,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G016,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G017,1,0,1,1,ok,unjudgeable,ok,ok,1,ok,resolved,round2_converged
G018,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G019,2,1,3,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G020,2,2,2,2,ok,unjudgeable,ok,ok,2,ok,resolved,round2_converged
G021,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G022,3,2,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G023,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G024,3,2,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G025,1,0,1,0,ok,unjudgeable,ok,unjudgeable,1,ok,adjudicated,human_adjudicated
G026,2,1,3,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G027,2,3,2,3,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G028,1,3,1,2,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G029,2,1,2,1,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G030,1,0,1,1,ok,unjudgeable,ok,ok,1,ok,resolved,round2_converged
G031,2,0,2,0,ok,unjudgeable,ok,unjudgeable,0,unjudgeable,adjudicated,human_adjudicated
G032,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G033,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G034,3,0,2,0,ok,unjudgeable,ok,unjudgeable,0,unjudgeable,adjudicated,human_adjudicated
G035,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G036,2,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G037,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G038,2,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G039,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G040,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G041,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G042,1,3,2,3,ok,ok,ok,unjudgeable,3,ok,adjudicated,human_adjudicated
G043,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G044,2,3,2,3,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G045,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G046,1,0,1,0,ok,unjudgeable,ok,unjudgeable,1,ok,adjudicated,human_adjudicated
G047,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G048,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G049,3,2,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G050,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G051,2,0,2,1,ok,unjudgeable,ok,ok,0,unjudgeable,adjudicated,human_adjudicated
G052,1,2,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G053,3,2,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G054,3,2,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G055,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G056,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G057,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G058,2,3,2,3,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G059,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G060,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G061,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G062,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G063,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G064,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G065,3,1,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G066,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G067,2,1,2,3,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G068,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G069,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G070,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G071,3,1,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G072,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G073,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G074,2,1,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G075,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G076,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G077,3,1,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G078,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G079,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G080,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G081,3,2,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G082,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G083,1,0,1,1,ok,unjudgeable,ok,ok,1,ok,resolved,round2_converged
G084,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G085,3,1,3,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G086,3,1,3,2,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G087,3,2,3,2,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G088,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G089,3,1,3,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G090,2,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G091,1,0,0,0,ok,unjudgeable,ok,ok,0,ok,resolved,round2_converged
G092,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G093,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G094,1,3,2,3,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G095,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G096,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G097,2,1,3,2,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G098,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G099,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G100,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G101,3,2,2,2,ok,ok,ok,unjudgeable,1,unjudgeable,adjudicated,human_adjudicated
G102,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G103,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G104,1,3,1,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G105,1,2,1,2,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G106,2,3,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G107,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G108,2,3,2,3,ok,ok,ok,ok,1,unjudgeable,adjudicated,human_adjudicated
G109,2,3,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G110,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G111,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G112,3,2,3,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G113,1,2,1,2,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G114,2,0,2,0,ok,unjudgeable,ok,unjudgeable,2,ok,adjudicated,human_adjudicated
G115,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G116,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G117,2,1,2,3,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G118,3,2,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G119,2,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G120,2,3,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G121,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G122,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G123,3,0,3,0,ok,unjudgeable,ok,unjudgeable,3,ok,adjudicated,human_adjudicated
G124,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G125,1,0,1,0,ok,unjudgeable,ok,unjudgeable,0,unjudgeable,adjudicated,human_adjudicated
G126,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G127,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G128,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G129,3,2,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G130,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G131,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G132,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G133,1,0,2,0,ok,unjudgeable,ok,unjudgeable,1,ok,adjudicated,human_adjudicated
G134,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G135,2,3,2,3,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G136,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G137,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G138,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G139,3,2,3,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G140,3,1,3,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G141,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G142,3,1,2,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G143,3,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G144,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G145,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G146,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G147,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G148,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G149,2,1,3,1,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G150,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G151,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G152,1,2,1,3,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G153,3,0,3,0,ok,unjudgeable,ok,unjudgeable,3,ok,adjudicated,human_adjudicated
G154,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G155,3,2,3,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G156,1,0,1,0,ok,unjudgeable,ok,unjudgeable,1,ok,adjudicated,human_adjudicated
G157,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G158,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G159,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G160,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G161,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
