role_id,proj_all_response,proj_answer_only
aberration,-0.745353,-1.43945
absurdist,-1.133047,-1.652454
accountant,-0.648372,-1.329986
activist,-0.719694,-1.41687
actor,-0.561685,-1.219571
addict,-0.771749,-1.39121
adolescent,-0.415049,-1.223586
advocate,-0.567611,-1.253666
alien,-0.773164,-1.493693
altruist,-0.515671,-1.267185
amateur,-0.33721,-1.152393
ambassador,-0.541058,-1.225421
amnesiac,-0.689004,-1.403795
analyst,-0.403581,-1.166296
anarchist,-1.08077,-1.714741
ancient,-0.625631,-1.34307
angel,-0.57463,-1.317354
anthropologist,-0.66768,-1.369819
archaeologist,-0.768663,-1.436516
architect,-0.72597,-1.399415
archivist,-0.595961,-1.31158
artisan,-0.798615,-1.45485
ascetic,-1.159421,-1.792251
assistant,-0.291522,-1.091478
auctioneer,-0.84593,-1.446175
auditor,-0.555267,-1.271144
avatar,-0.681059,-1.352941
bard,-0.991286,-1.571692
bartender,-0.757354,-1.390307
biologist,-0.827598,-1.491967
blogger,-0.549624,-1.175552
bohemian,-1.227321,-1.840952
builder,-0.577626,-1.292717
caregiver,-0.577691,-1.240726
cartographer,-0.573269,-1.271658
caveman,-1.141132,-1.738947
celebrity,-0.709024,-1.341047
chameleon,-0.570692,-1.245519
chef,-0.715869,-1.408999
chemist,-0.774272,-1.472672
chimera,-0.805798,-1.51229
coach,-0.436362,-1.202363
collaborator,-0.414276,-1.198556
collector,-0.621941,-1.285754
comedian,-0.598441,-1.177513
competitor,-0.755699,-1.431983
composer,-0.942629,-1.556295
conservator,-0.796628,-1.446657
consultant,-0.422501,-1.159786
contrarian,-0.634594,-1.320569
coordinator,-0.499113,-1.220492
coral_reef,-1.275559,-1.861499
cosmopolitan,-0.547514,-1.266156
counselor,-0.422906,-1.158663
criminal,-1.071243,-1.671968
critic,-0.470645,-1.21809
crystalline,-1.005517,-1.712352
curator,-0.612473,-1.314768
cyborg,-0.470806,-1.250678
cynic,-1.019317,-1.631666
daredevil,-0.794283,-1.464771
debugger,-0.390424,-1.180197
demon,-0.905601,-1.545756
designer,-0.656333,-1.332742
destroyer,-0.613097,-1.308993
detective,-0.45052,-1.209217
devils_advocate,-0.530475,-1.248098
dilettante,-0.406189,-1.173016
dispatcher,-0.460456,-1.195522
divorcee,-0.702232,-1.364265
doctor,-0.472118,-1.202731
dreamer,-0.623147,-1.323642
echo,-0.73569,-1.439515
economist,-0.464779,-1.216467
ecosystem,-0.72117,-1.416051
editor,-0.491253,-1.179232
egregore,-0.731692,-1.43799
elder,-0.577742,-1.279105
eldritch,-0.846068,-1.540893
emissary,-0.476883,-1.239432
empath,-0.472347,-1.207483
engineer,-0.467211,-1.237367
entrepreneur,-0.662363,-1.340703
evaluator,-0.404071,-1.164132
evangelist,-0.509927,-1.219583
examiner,-0.435826,-1.158571
exile,-0.777523,-1.386608
expatriate,-0.607481,-1.298872
facilitator,-0.427357,-1.176613
familiar,-0.594977,-1.315048
fixer,-0.523279,-1.255093
flaneur,-0.714194,-1.41946
fool,-0.465182,-1.189285
forecaster,-0.436596,-1.191504
futurist,-0.529283,-1.269686
gamer,-0.763909,-1.453102
generalist,-0.355087,-1.129373
genie,-0.711184,-1.425112
geographer,-0.695927,-1.354874
ghost,-0.713202,-1.429123
golem,-0.905905,-1.569917
gossip,-0.490203,-1.215563
grader,-0.384081,-1.135209
graduate,-0.509826,-1.278909
grandparent,-0.696832,-1.297718
guardian,-0.529793,-1.249354
guide,-0.391303,-1.1802
guru,-0.532312,-1.259029
hacker,-0.690586,-1.361841
healer,-0.573518,-1.270514
hedonist,-1.019258,-1.662165
hermit,-0.838931,-1.537653
historian,-0.611383,-1.285798
hive,-0.546706,-1.32183
hoarder,-0.925091,-1.579559
homunculus,-0.954177,-1.600807
hybrid,-0.567347,-1.297605
idealist,-0.627589,-1.316043
immigrant,-0.783241,-1.469999
improviser,-0.4661,-1.219824
infant,-0.879557,-1.548588
influencer,-0.575787,-1.227864
instructor,-0.403908,-1.123675
interpreter,-0.41496,-1.176344
interviewer,-0.408962,-1.173189
jester,-0.712248,-1.306336
journalist,-0.447999,-1.190182
judge,-0.435425,-1.218549
lawyer,-0.563206,-1.213775
leviathan,-1.201223,-1.778814
librarian,-0.489935,-1.2192
linguist,-0.698972,-1.341165
loner,-0.744636,-1.430489
luddite,-1.077258,-1.711645
marketer,-0.704372,-1.352681
martyr,-0.824791,-1.45203
mathematician,-0.517672,-1.252892
maverick,-0.589987,-1.339258
mechanic,-0.501477,-1.253752
mediator,-0.444289,-1.242691
mentor,-0.425339,-1.175098
merchant,-0.767402,-1.375335
minimalist,-0.90216,-1.546716
moderator,-0.385331,-1.194772
musician,-0.931102,-1.543875
mycorrhizal,-0.966205,-1.607128
mystic,-0.757751,-1.45217
narcissist,-1.010468,-1.603003
narrator,-0.54132,-1.200479
naturalist,-0.724342,-1.413346
navigator,-0.445966,-1.194023
negotiator,-0.527207,-1.254782
networker,-0.493624,-1.233833
newlywed,-0.6859,-1.368483
nomad,-0.835473,-1.502063
novelist,-0.872132,-1.424885
nutritionist,-0.687666,-1.306399
observer,-0.37984,-1.141756
optimist,-0.573888,-1.29648
oracle,-0.487273,-1.250251
organizer,-0.468211,-1.17265
orphan,-0.698967,-1.355245
pacifist,-0.719183,-1.400502
paramedic,-0.653085,-1.349253
parasite,-0.975426,-1.620269
parent,-0.639217,-1.284234
patient,-0.559123,-1.239278
peacekeeper,-0.442814,-1.221097
perfectionist,-0.573031,-1.276551
pharmacist,-0.606666,-1.273138
philosopher,-0.517097,-1.257689
photographer,-0.982166,-1.571656
physicist,-0.690939,-1.415369
pilgrim,-0.879975,-1.569742
pilot,-0.77093,-1.408681
pirate,-1.184045,-1.734439
planner,-0.42894,-1.1628
playwright,-0.792256,-1.347983
podcaster,-0.520148,-1.218875
poet,-1.011749,-1.407925
polymath,-0.432551,-1.192089
pragmatist,-0.515269,-1.223753
predator,-0.738907,-1.407946
presenter,-0.451023,-1.213764
prey,-0.854207,-1.484186
prisoner,-0.758244,-1.405396
procrastinator,-0.589125,-1.265724
prodigy,-0.399163,-1.176078
producer,-0.639036,-1.327524
programmer,-0.453227,-1.171972
proofreader,-0.385123,-1.107581
prophet,-0.719301,-1.354684
provincial,-0.835722,-1.445605
provocateur,-0.69715,-1.389015
psychologist,-0.530494,-1.263625
publisher,-0.568685,-1.259581
purist,-0.603441,-1.297989
realist,-0.45029,-1.211039
rebel,-0.77816,-1.478493
recruiter,-0.598559,-1.278206
refugee,-0.669437,-1.317888
reporter,-0.455728,-1.170769
researcher,-0.392322,-1.174518
retiree,-0.576376,-1.296296
revenant,-0.856778,-1.508185
reviewer,-0.415134,-1.18132
revolutionary,-0.845218,-1.484484
robot,-0.454246,-1.22536
rogue,-0.822343,-1.502079
romantic,-0.969332,-1.525014
saboteur,-0.822402,-1.482447
sage,-0.462517,-1.269508
scheduler,-0.527929,-1.235484
scholar,-0.419477,-1.168619
scientist,-0.463738,-1.22392
scout,-0.517362,-1.256934
screener,-0.426339,-1.177101
secretary,-0.552558,-1.218483
shaman,-1.192246,-1.767458
shapeshifter,-0.756984,-1.428919
simulacrum,-0.68186,-1.36323
skeptic,-0.454459,-1.198272
smuggler,-1.064248,-1.648901
sociologist,-0.538711,-1.271507
soldier,-0.903726,-1.525174
sommelier,-0.902893,-1.516284
specialist,-0.38307,-1.185427
spirit,-0.624247,-1.341256
spy,-0.683889,-1.361436
statistician,-0.519803,-1.249731
stoic,-0.889901,-1.588157
strategist,-0.497706,-1.213367
student,-0.344799,-1.14645
summarizer,-0.344572,-1.129198
supervisor,-0.496952,-1.227474
surfer,-0.853827,-1.516387
