role_id,proj_all_response,proj_answer_only,proj_reasoning_only
aberration,-0.745353,-1.43945,-0.431821
absurdist,-1.133047,-1.652454,-0.913731
accountant,-0.648372,-1.329986,-0.299456
activist,-0.719694,-1.41687,-0.364687
actor,-0.561685,-1.219571,-0.243141
addict,-0.771749,-1.39121,-0.462745
adolescent,-0.415049,-1.223586,-0.048442
advocate,-0.567611,-1.253666,-0.225872
alien,-0.773164,-1.493693,-0.445282
altruist,-0.515671,-1.267185,-0.153394
amateur,-0.33721,-1.152393,0.036862
ambassador,-0.541058,-1.225421,-0.208254
amnesiac,-0.689004,-1.403795,-0.367704
analyst,-0.403581,-1.166296,-0.019554
anarchist,-1.08077,-1.714741,-0.782517
ancient,-0.625631,-1.34307,-0.279912
angel,-0.57463,-1.317354,-0.216821
anthropologist,-0.66768,-1.369819,-0.314357
archaeologist,-0.768663,-1.436516,-0.455983
architect,-0.72597,-1.399415,-0.373641
archivist,-0.595961,-1.31158,-0.24588
artisan,-0.798615,-1.45485,-0.483825
ascetic,-1.159421,-1.792251,-0.876026
assistant,-0.291522,-1.091478,0.109166
auctioneer,-0.84593,-1.446175,-0.562631
auditor,-0.555267,-1.271144,-0.212223
avatar,-0.681059,-1.352941,-0.344519
bard,-0.991286,-1.571692,-0.744296
bartender,-0.757354,-1.390307,-0.451739
biologist,-0.827598,-1.491967,-0.518314
blogger,-0.549624,-1.175552,-0.230446
bohemian,-1.227321,-1.840952,-0.941659
builder,-0.577626,-1.292717,-0.233502
caregiver,-0.577691,-1.240726,-0.247083
cartographer,-0.573269,-1.271658,-0.226015
caveman,-1.141132,-1.738947,-0.901432
celebrity,-0.709024,-1.341047,-0.410155
chameleon,-0.570692,-1.245519,-0.235835
chef,-0.715869,-1.408999,-0.385051
chemist,-0.774272,-1.472672,-0.46171
chimera,-0.805798,-1.51229,-0.474615
coach,-0.436362,-1.202363,-0.058255
collaborator,-0.414276,-1.198556,-0.018428
collector,-0.621941,-1.285754,-0.286356
comedian,-0.598441,-1.177513,-0.339001
competitor,-0.755699,-1.431983,-0.43252
composer,-0.942629,-1.556295,-0.61892
conservator,-0.796628,-1.446657,-0.473482
consultant,-0.422501,-1.159786,-0.039937
contrarian,-0.634594,-1.320569,-0.298589
coordinator,-0.499113,-1.220492,-0.14321
coral_reef,-1.275559,-1.861499,-1.031903
cosmopolitan,-0.547514,-1.266156,-0.184798
counselor,-0.422906,-1.158663,-0.051114
criminal,-1.071243,-1.671968,-0.799119
critic,-0.470645,-1.21809,-0.10513
crystalline,-1.005517,-1.712352,-0.713434
curator,-0.612473,-1.314768,-0.262045
cyborg,-0.470806,-1.250678,-0.11272
cynic,-1.019317,-1.631666,-0.72851
daredevil,-0.794283,-1.464771,-0.4811
debugger,-0.390424,-1.180197,-0.00015
demon,-0.905601,-1.545756,-0.613842
designer,-0.656333,-1.332742,-0.316182
destroyer,-0.613097,-1.308993,-0.27092
detective,-0.45052,-1.209217,-0.106615
devils_advocate,-0.530475,-1.248098,-0.16631
dilettante,-0.406189,-1.173016,-0.040858
dispatcher,-0.460456,-1.195522,-0.10204
divorcee,-0.702232,-1.364265,-0.36468
doctor,-0.472118,-1.202731,-0.121769
dreamer,-0.623147,-1.323642,-0.285695
echo,-0.73569,-1.439515,-0.420093
economist,-0.464779,-1.216467,-0.118533
ecosystem,-0.72117,-1.416051,-0.40523
editor,-0.491253,-1.179232,-0.144927
egregore,-0.731692,-1.43799,-0.400206
elder,-0.577742,-1.279105,-0.231489
eldritch,-0.846068,-1.540893,-0.525199
emissary,-0.476883,-1.239432,-0.098212
empath,-0.472347,-1.207483,-0.110248
engineer,-0.467211,-1.237367,-0.104555
entrepreneur,-0.662363,-1.340703,-0.322952
evaluator,-0.404071,-1.164132,-0.02019
evangelist,-0.509927,-1.219583,-0.153977
examiner,-0.435826,-1.158571,-0.064439
exile,-0.777523,-1.386608,-0.470933
expatriate,-0.607481,-1.298872,-0.268056
facilitator,-0.427357,-1.176613,-0.053984
familiar,-0.594977,-1.315048,-0.247735
fixer,-0.523279,-1.255093,-0.186073
flaneur,-0.714194,-1.41946,-0.36633
fool,-0.465182,-1.189285,-0.14915
forecaster,-0.436596,-1.191504,-0.075357
futurist,-0.529283,-1.269686,-0.159836
gamer,-0.763909,-1.453102,-0.440246
generalist,-0.355087,-1.129373,0.026928
genie,-0.711184,-1.425112,-0.371915
geographer,-0.695927,-1.354874,-0.369059
ghost,-0.713202,-1.429123,-0.383969
golem,-0.905905,-1.569917,-0.611803
gossip,-0.490203,-1.215563,-0.16109
grader,-0.384081,-1.135209,-0.014205
graduate,-0.509826,-1.278909,-0.152572
grandparent,-0.696832,-1.297718,-0.404187
guardian,-0.529793,-1.249354,-0.180897
guide,-0.391303,-1.1802,0.002676
guru,-0.532312,-1.259029,-0.1627
hacker,-0.690586,-1.361841,-0.379911
healer,-0.573518,-1.270514,-0.200194
hedonist,-1.019258,-1.662165,-0.725697
hermit,-0.838931,-1.537653,-0.51241
historian,-0.611383,-1.285798,-0.260476
hive,-0.546706,-1.32183,-0.187693
hoarder,-0.925091,-1.579559,-0.642754
homunculus,-0.954177,-1.600807,-0.674012
hybrid,-0.567347,-1.297605,-0.217278
idealist,-0.627589,-1.316043,-0.288635
immigrant,-0.783241,-1.469999,-0.449648
improviser,-0.4661,-1.219824,-0.108045
infant,-0.879557,-1.548588,-0.624928
influencer,-0.575787,-1.227864,-0.2707
instructor,-0.403908,-1.123675,-0.046149
interpreter,-0.41496,-1.176344,-0.039877
interviewer,-0.408962,-1.173189,-0.03118
jester,-0.712248,-1.306336,-0.433159
journalist,-0.447999,-1.190182,-0.081135
judge,-0.435425,-1.218549,-0.059515
lawyer,-0.563206,-1.213775,-0.231516
leviathan,-1.201223,-1.778814,-0.938963
librarian,-0.489935,-1.2192,-0.121482
linguist,-0.698972,-1.341165,-0.38581
loner,-0.744636,-1.430489,-0.430672
luddite,-1.077258,-1.711645,-0.81254
marketer,-0.704372,-1.352681,-0.366119
martyr,-0.824791,-1.45203,-0.526963
mathematician,-0.517672,-1.252892,-0.186081
maverick,-0.589987,-1.339258,-0.232389
mechanic,-0.501477,-1.253752,-0.136721
mediator,-0.444289,-1.242691,-0.057028
mentor,-0.425339,-1.175098,-0.049596
merchant,-0.767402,-1.375335,-0.459059
minimalist,-0.90216,-1.546716,-0.585602
moderator,-0.385331,-1.194772,-0.013844
musician,-0.931102,-1.543875,-0.621998
mycorrhizal,-0.966205,-1.607128,-0.681586
mystic,-0.757751,-1.45217,-0.401856
narcissist,-1.010468,-1.603003,-0.751146
narrator,-0.54132,-1.200479,-0.220778
naturalist,-0.724342,-1.413346,-0.398304
navigator,-0.445966,-1.194023,-0.093481
negotiator,-0.527207,-1.254782,-0.155518
networker,-0.493624,-1.233833,-0.120432
newlywed,-0.6859,-1.368483,-0.353935
nomad,-0.835473,-1.502063,-0.525482
novelist,-0.872132,-1.424885,-0.586547
nutritionist,-0.687666,-1.306399,-0.366427
observer,-0.37984,-1.141756,-0.008284
optimist,-0.573888,-1.29648,-0.226224
oracle,-0.487273,-1.250251,-0.105019
organizer,-0.468211,-1.17265,-0.102041
orphan,-0.698967,-1.355245,-0.375496
pacifist,-0.719183,-1.400502,-0.392918
paramedic,-0.653085,-1.349253,-0.31892
parasite,-0.975426,-1.620269,-0.712596
parent,-0.639217,-1.284234,-0.326194
patient,-0.559123,-1.239278,-0.227418
peacekeeper,-0.442814,-1.221097,-0.071217
perfectionist,-0.573031,-1.276551,-0.213859
pharmacist,-0.606666,-1.273138,-0.274634
philosopher,-0.517097,-1.257689,-0.155744
photographer,-0.982166,-1.571656,-0.689889
physicist,-0.690939,-1.415369,-0.362363
pilgrim,-0.879975,-1.569742,-0.546347
pilot,-0.77093,-1.408681,-0.46319
pirate,-1.184045,-1.734439,-0.95534
planner,-0.42894,-1.1628,-0.05889
playwright,-0.792256,-1.347983,-0.518219
podcaster,-0.520148,-1.218875,-0.178053
poet,-1.011749,-1.407925,-0.830373
polymath,-0.432551,-1.192089,-0.059791
pragmatist,-0.515269,-1.223753,-0.159092
predator,-0.738907,-1.407946,-0.436219
presenter,-0.451023,-1.213764,-0.080647
prey,-0.854207,-1.484186,-0.55807
prisoner,-0.758244,-1.405396,-0.439585
procrastinator,-0.589125,-1.265724,-0.306388
prodigy,-0.399163,-1.176078,-0.021588
producer,-0.639036,-1.327524,-0.304114
programmer,-0.453227,-1.171972,-0.094819
proofreader,-0.385123,-1.107581,-0.053348
prophet,-0.719301,-1.354684,-0.405389
provincial,-0.835722,-1.445605,-0.529914
provocateur,-0.69715,-1.389015,-0.36674
psychologist,-0.530494,-1.263625,-0.164975
publisher,-0.568685,-1.259581,-0.222213
purist,-0.603441,-1.297989,-0.266471
realist,-0.45029,-1.211039,-0.076555
rebel,-0.77816,-1.478493,-0.459628
recruiter,-0.598559,-1.278206,-0.259994
refugee,-0.669437,-1.317888,-0.345651
reporter,-0.455728,-1.170769,-0.102443
researcher,-0.392322,-1.174518,0.000968
retiree,-0.576376,-1.296296,-0.23651
revenant,-0.856778,-1.508185,-0.547872
reviewer,-0.415134,-1.18132,-0.040644
revolutionary,-0.845218,-1.484484,-0.530764
robot,-0.454246,-1.22536,-0.091877
rogue,-0.822343,-1.502079,-0.510352
romantic,-0.969332,-1.525014,-0.705788
saboteur,-0.822402,-1.482447,-0.521547
sage,-0.462517,-1.269508,-0.077394
scheduler,-0.527929,-1.235484,-0.185768
scholar,-0.419477,-1.168619,-0.046062
scientist,-0.463738,-1.22392,-0.112406
scout,-0.517362,-1.256934,-0.140598
screener,-0.426339,-1.177101,-0.07285
secretary,-0.552558,-1.218483,-0.242558
shaman,-1.192246,-1.767458,-0.906493
shapeshifter,-0.756984,-1.428919,-0.453369
simulacrum,-0.68186,-1.36323,-0.373508
skeptic,-0.454459,-1.198272,-0.106377
smuggler,-1.064248,-1.648901,-0.802011
sociologist,-0.538711,-1.271507,-0.166563
soldier,-0.903726,-1.525174,-0.596004
sommelier,-0.902893,-1.516284,-0.613852
specialist,-0.38307,-1.185427,-0.002254
spirit,-0.624247,-1.341256,-0.276231
spy,-0.683889,-1.361436,-0.351417
statistician,-0.519803,-1.249731,-0.182436
stoic,-0.889901,-1.588157,-0.560182
strategist,-0.497706,-1.213367,-0.139417
student,-0.344799,-1.14645,0.038215
summarizer,-0.344572,-1.129198,0.026523
supervisor,-0.496952,-1.227474,-0.153502
surfer,-0.853827,-1.516387,-0.538358
survivor,-0.652273,-1.32856,-0.325003
swarm,-0.591187,-1.352671,-0.236926
symbiont,-0.721973,-1.411568,-0.411165
synthesizer,-0.427074,-1.199642,-0.047582
teacher,-0.433048,-1.220643,-0.049884
technologist,-0.48426,-1.213061,-0.125141
teenager,-0.3629,-1.15584,-0.001815
theorist,-0.547339,-1.277293,-0.181266
therapist,-0.472984,-1.236936,-0.103208
toddler,-0.542866,-1.196501,-0.265188
traditionalist,-0.976909,-1.619909,-0.682228
trainer,-0.55238,-1.250974,-0.196845
translator,-0.436695,-1.052175,-0.105992
tree,-1.062382,-1.682043,-0.779958
trickster,-0.64719,-1.291499,-0.342315
tulpa,-0.547393,-1.292602,-0.188931
tutor,-0.368914,-1.158059,0.001144
validator,-0.36348,-1.111812,-0.009583
vampire,-1.300381,-1.867207,-1.039589
vegan,-0.870579,-1.462606,-0.57248
veteran,-0.752615,-1.419815,-0.431191
veterinarian,-0.745961,-1.367688,-0.437017
vigilante,-0.709926,-1.372985,-0.396359
virtuoso,-0.575976,-1.283841,-0.227194
virus,-0.747105,-1.412802,-0.459474
visionary,-0.585241,-1.325745,-0.212372
void,-0.885353,-1.55874,-0.584308
wanderer,-0.700662,-1.421134,-0.364719
warrior,-0.657716,-1.36845,-0.32151
whale,-0.820175,-1.466832,-0.518159
widow,-0.873591,-1.476873,-0.576599
wind,-0.952032,-1.59989,-0.664006
witch,-1.117031,-1.680693,-0.833866
witness,-0.46489,-1.164794,-0.125128
workaholic,-0.924865,-1.557324,-0.652825
wraith,-1.107881,-1.787465,-0.811238
writer,-0.509923,-1.172341,-0.189495
zealot,-0.681984,-1.327791,-0.382841
zeitgeist,-0.512107,-1.234968,-0.16598
