role_id,proj_all_response,proj_answer_only
aberration,-0.461567,-1.130881
absurdist,-0.887501,-1.410106
accountant,-0.254871,-0.975103
activist,-0.416093,-1.10766
actor,-0.263855,-0.971681
addict,-0.455633,-1.106532
adolescent,-0.051,-0.868117
advocate,-0.201922,-0.95124
alien,-0.519808,-1.245406
altruist,-0.21607,-0.977644
amateur,-0.030184,-0.85092
ambassador,-0.17831,-0.927163
amnesiac,-0.512565,-1.235911
analyst,-0.101041,-0.885417
anarchist,-0.872328,-1.503784
ancient,-0.355342,-1.068048
angel,-0.27926,-1.007884
anthropologist,-0.407722,-1.100919
archaeologist,-0.51361,-1.204877
architect,-0.391239,-1.069448
archivist,-0.353885,-1.052429
artisan,-0.399542,-1.115429
ascetic,-0.955938,-1.551564
assistant,-0.005579,-0.82834
auctioneer,-0.517295,-1.129359
auditor,-0.273819,-0.976451
avatar,-0.476619,-1.16326
bard,-0.685469,-1.321522
bartender,-0.423968,-1.088288
biologist,-0.496284,-1.188703
blogger,-0.165119,-0.886846
bohemian,-0.856956,-1.483872
builder,-0.215439,-1.002107
caregiver,-0.255442,-0.973649
cartographer,-0.273695,-1.028097
caveman,-0.958724,-1.555007
celebrity,-0.504491,-1.110525
chameleon,-0.243122,-0.953225
chef,-0.365792,-1.044754
chemist,-0.498595,-1.198055
chimera,-0.609163,-1.25595
coach,-0.098816,-0.874792
collaborator,-0.100979,-0.869528
collector,-0.326927,-1.038137
comedian,-0.338797,-0.858684
competitor,-0.487266,-1.170679
composer,-0.555046,-1.209119
conservator,-0.47745,-1.145636
consultant,-0.099415,-0.883966
contrarian,-0.302629,-1.04715
coordinator,-0.191607,-0.959372
coral_reef,-0.986096,-1.557551
cosmopolitan,-0.292896,-1.013372
counselor,-0.100241,-0.882371
criminal,-0.79959,-1.398442
critic,-0.144307,-0.932782
crystalline,-0.73707,-1.40636
curator,-0.275468,-0.997964
cyborg,-0.193338,-0.984442
cynic,-0.866971,-1.405903
daredevil,-0.53635,-1.208726
debugger,-0.050405,-0.864768
demon,-0.687242,-1.356535
designer,-0.350585,-1.05174
destroyer,-0.273236,-0.991536
detective,-0.144514,-0.925897
devils_advocate,-0.254432,-0.982277
dilettante,-0.126958,-0.928624
dispatcher,-0.179775,-0.901185
divorcee,-0.343051,-1.034456
doctor,-0.127383,-0.919356
dreamer,-0.342857,-1.036408
echo,-0.487692,-1.166616
economist,-0.228011,-0.93301
ecosystem,-0.486021,-1.136734
editor,-0.193334,-0.952463
egregore,-0.471109,-1.205926
elder,-0.265659,-0.986016
eldritch,-0.702525,-1.393207
emissary,-0.202148,-0.9608
empath,-0.117918,-0.926146
engineer,-0.158718,-0.924335
entrepreneur,-0.370061,-1.073157
evaluator,-0.103969,-0.895429
evangelist,-0.204406,-0.953744
examiner,-0.168203,-0.902619
exile,-0.499448,-1.144616
expatriate,-0.306445,-1.001444
facilitator,-0.13521,-0.954899
familiar,-0.422621,-1.074827
fixer,-0.253495,-0.961748
flaneur,-0.480725,-1.134617
fool,-0.215133,-0.871095
forecaster,-0.134163,-0.883797
futurist,-0.2302,-1.01432
gamer,-0.398108,-1.119498
generalist,-0.064737,-0.86725
genie,-0.537118,-1.222146
geographer,-0.403294,-1.121678
ghost,-0.499252,-1.183525
golem,-0.754992,-1.381389
gossip,-0.185053,-0.922463
grader,-0.073132,-0.880146
graduate,-0.17169,-0.948744
grandparent,-0.462678,-1.022674
guardian,-0.250741,-0.986495
guide,-0.065792,-0.868631
guru,-0.230155,-0.993876
hacker,-0.386203,-1.109088
healer,-0.284571,-1.008217
hedonist,-0.703461,-1.338013
hermit,-0.586794,-1.302939
