role_id,proj_all_response,proj_answer_only,proj_reasoning_only
aberration,-0.461567,-1.130881,-0.163313
absurdist,-0.887501,-1.410106,-0.660948
accountant,-0.254871,-0.975103,0.08405
activist,-0.416093,-1.10766,-0.09066
actor,-0.263855,-0.971681,0.0689
addict,-0.455633,-1.106532,-0.152599
adolescent,-0.051,-0.868117,0.288219
advocate,-0.201922,-0.95124,0.167375
alien,-0.519808,-1.245406,-0.185998
altruist,-0.21607,-0.977644,0.151202
amateur,-0.030184,-0.85092,0.34621
ambassador,-0.17831,-0.927163,0.186187
amnesiac,-0.512565,-1.235911,-0.197388
analyst,-0.101041,-0.885417,0.278525
anarchist,-0.872328,-1.503784,-0.570909
ancient,-0.355342,-1.068048,-0.011994
angel,-0.27926,-1.007884,0.073991
anthropologist,-0.407722,-1.100919,-0.056076
archaeologist,-0.51361,-1.204877,-0.186869
architect,-0.391239,-1.069448,-0.057082
archivist,-0.353885,-1.052429,-0.016544
artisan,-0.399542,-1.115429,-0.045737
ascetic,-0.955938,-1.551564,-0.687897
assistant,-0.005579,-0.82834,0.391908
auctioneer,-0.517295,-1.129359,-0.218437
auditor,-0.273819,-0.976451,0.079824
avatar,-0.476619,-1.16326,-0.153531
bard,-0.685469,-1.321522,-0.390921
bartender,-0.423968,-1.088288,-0.111278
biologist,-0.496284,-1.188703,-0.156519
blogger,-0.165119,-0.886846,0.19795
bohemian,-0.856956,-1.483872,-0.568766
builder,-0.215439,-1.002107,0.151912
caregiver,-0.255442,-0.973649,0.089757
cartographer,-0.273695,-1.028097,0.074433
caveman,-0.958724,-1.555007,-0.730375
celebrity,-0.504491,-1.110525,-0.206989
chameleon,-0.243122,-0.953225,0.107421
chef,-0.365792,-1.044754,-0.03263
chemist,-0.498595,-1.198055,-0.183864
chimera,-0.609163,-1.25595,-0.311599
coach,-0.098816,-0.874792,0.266613
collaborator,-0.100979,-0.869528,0.272469
collector,-0.326927,-1.038137,0.01643
comedian,-0.338797,-0.858684,-0.102733
competitor,-0.487266,-1.170679,-0.161162
composer,-0.555046,-1.209119,-0.23495
conservator,-0.47745,-1.145636,-0.168843
consultant,-0.099415,-0.883966,0.277924
contrarian,-0.302629,-1.04715,0.035703
coordinator,-0.191607,-0.959372,0.167025
coral_reef,-0.986096,-1.557551,-0.768852
cosmopolitan,-0.292896,-1.013372,0.055953
counselor,-0.100241,-0.882371,0.289204
criminal,-0.79959,-1.398442,-0.533048
critic,-0.144307,-0.932782,0.236466
crystalline,-0.73707,-1.40636,-0.443937
curator,-0.275468,-0.997964,0.088533
cyborg,-0.193338,-0.984442,0.183202
cynic,-0.866971,-1.405903,-0.621935
daredevil,-0.53635,-1.208726,-0.237203
debugger,-0.050405,-0.864768,0.341599
demon,-0.687242,-1.356535,-0.395616
designer,-0.350585,-1.05174,-0.010762
destroyer,-0.273236,-0.991536,0.057493
detective,-0.144514,-0.925897,0.210684
devils_advocate,-0.254432,-0.982277,0.101811
dilettante,-0.126958,-0.928624,0.241916
dispatcher,-0.179775,-0.901185,0.165405
divorcee,-0.343051,-1.034456,-0.010664
doctor,-0.127383,-0.919356,0.250882
dreamer,-0.342857,-1.036408,-0.0183
echo,-0.487692,-1.166616,-0.180163
economist,-0.228011,-0.93301,0.117404
ecosystem,-0.486021,-1.136734,-0.185075
editor,-0.193334,-0.952463,0.167237
egregore,-0.471109,-1.205926,-0.133812
elder,-0.265659,-0.986016,0.085794
eldritch,-0.702525,-1.393207,-0.396549
emissary,-0.202148,-0.9608,0.154242
empath,-0.117918,-0.926146,0.258626
engineer,-0.158718,-0.924335,0.214947
entrepreneur,-0.370061,-1.073157,-0.024977
evaluator,-0.103969,-0.895429,0.267696
evangelist,-0.204406,-0.953744,0.164285
examiner,-0.168203,-0.902619,0.200996
exile,-0.499448,-1.144616,-0.199088
expatriate,-0.306445,-1.001444,0.022176
facilitator,-0.13521,-0.954899,0.255852
familiar,-0.422621,-1.074827,-0.111917
fixer,-0.253495,-0.961748,0.067848
flaneur,-0.480725,-1.134617,-0.158297
fool,-0.215133,-0.871095,0.076257
forecaster,-0.134163,-0.883797,0.229034
futurist,-0.2302,-1.01432,0.136476
gamer,-0.398108,-1.119498,-0.084687
generalist,-0.064737,-0.86725,0.328357
genie,-0.537118,-1.222146,-0.224178
geographer,-0.403294,-1.121678,-0.062081
ghost,-0.499252,-1.183525,-0.184157
golem,-0.754992,-1.381389,-0.467715
gossip,-0.185053,-0.922463,0.150824
grader,-0.073132,-0.880146,0.296039
graduate,-0.17169,-0.948744,0.202239
grandparent,-0.462678,-1.022674,-0.213138
guardian,-0.250741,-0.986495,0.100171
guide,-0.065792,-0.868631,0.307859
guru,-0.230155,-0.993876,0.146495
hacker,-0.386203,-1.109088,-0.05132
healer,-0.284571,-1.008217,0.081756
hedonist,-0.703461,-1.338013,-0.42065
hermit,-0.586794,-1.302939,-0.262103
historian,-0.340474,-1.050656,-0.001271
hive,-0.247966,-1.025073,0.110945
hoarder,-0.656706,-1.253234,-0.398328
homunculus,-0.841364,-1.47127,-0.565772
hybrid,-0.324732,-1.037371,0.023456
idealist,-0.456512,-1.154146,-0.129374
immigrant,-0.52598,-1.189419,-0.198352
improviser,-0.124906,-0.901911,0.215822
infant,-0.73921,-1.383042,-0.50023
influencer,-0.260183,-0.934568,0.055057
instructor,-0.063248,-0.820971,0.312815
interpreter,-0.097504,-0.897084,0.270538
interviewer,-0.135736,-0.867635,0.227499
jester,-0.452806,-1.011633,-0.216515
journalist,-0.162769,-0.910721,0.199983
judge,-0.103596,-0.919524,0.271664
lawyer,-0.302487,-0.954198,0.017858
leviathan,-0.924232,-1.471615,-0.683383
librarian,-0.215833,-0.930699,0.130636
linguist,-0.414336,-1.101003,-0.07581
