role_id,proj_all_response_own_axis,proj_all_response_all_response_axis,proj_answer_own_axis,proj_answer_all_response_axis,proj_reasoning_own_axis,proj_reasoning_all_response_axis
aberration,-0.6288484370907,-0.6288484370907,-0.42915261544269084,-1.324690155793343,-0.6366046773944551,-0.31673467298297353
absurdist,-1.042607344104235,-1.042607344104235,-0.9898050855926562,-1.5773506208484194,-1.0964392431968961,-0.8138109209500899
accountant,-0.4776891564203702,-0.4776891564203702,-0.21488957539516673,-1.1932862706872172,-0.4247889208593024,-0.12603847217372663
activist,-0.5952124289260949,-0.5952124289260949,-0.3138194232880946,-1.303661491164727,-0.5428998914039997,-0.24800301779007616
actor,-0.4396642623889335,-0.4396642623889335,-0.2568505044948672,-1.1360657152009095,-0.40351887255576546,-0.10787610467042597
addict,-0.6376234991381923,-0.6376234991381923,-0.38277548166702646,-1.2867688578297802,-0.6231606940860439,-0.3246053437876456
adolescent,-0.2503541417654283,-0.2503541417654283,-0.21937611210565156,-1.08052029640606,-0.1492793546454752,0.11031558371664335
advocate,-0.41273748121688336,-0.41273748121688336,-0.23074759554406976,-1.142164496685592,-0.3477302247438451,-0.05215461076089918
alien,-0.6730439508399828,-0.6730439508399828,-0.4917690667314098,-1.413998140811229,-0.6246866066502096,-0.33452195759516284
altruist,-0.38916420940098106,-0.38916420940098106,-0.179605472991253,-1.1594076731081144,-0.29841689308822633,-0.0175989844800602
amateur,-0.20392761999464964,-0.20392761999464964,-0.10796094328424831,-1.0393639307585936,-0.07674586026721597,0.1790880034327374
ambassador,-0.38683788764538074,-0.38683788764538074,-0.19034979806301142,-1.1169459118152862,-0.3334774540126823,-0.03201598495942841
amnesiac,-0.6259102148799868,-0.6259102148799868,-0.4532801525286465,-1.3619001850060124,-0.5803116869115951,-0.29986366807289955
analyst,-0.27615186293783056,-0.27615186293783056,-0.08973655430603017,-1.0669487323433198,-0.1630713592228123,0.11433123755407813
anarchist,-1.0076017726831115,-1.0076017726831115,-0.662297020514221,-1.6558301618933648,-1.0045628951793972,-0.7010331498122424
ancient,-0.5186749414785053,-0.5186749414785053,-0.3187199641394911,-1.2513256978644982,-0.4463831652265786,-0.16584316572996236
angel,-0.45155962380398973,-0.45155962380398973,-0.27876782874132244,-1.2044339624162073,-0.3761246925278428,-0.08809185795197008
anthropologist,-0.564132385202067,-0.564132385202067,-0.2731062249406119,-1.2781388518101386,-0.49263882445163243,-0.20284481371630592
archaeologist,-0.6656645658648416,-0.6656645658648416,-0.3840670100704443,-1.3607777212155734,-0.624671690644218,-0.3390451303955355
architect,-0.5856038053455632,-0.5856038053455632,-0.3101607379284309,-1.2756813278426535,-0.5297360186000188,-0.2346015158636166
archivist,-0.4974763873152773,-0.4974763873152773,-0.2259856420296899,-1.218798594224845,-0.444658317442379,-0.14746445677227948
artisan,-0.6295077034966207,-0.6295077034966207,-0.40055185299080365,-1.3287474453515091,-0.5712928720132392,-0.2894117245010309
ascetic,-1.0875731196695952,-1.0875731196695952,-0.7961107039377647,-1.7183354357589633,-1.1111288204712668,-0.8040142223752609
assistant,-0.17072215477600544,-0.17072215477600544,-0.038658718983342895,-0.9985270645559232,-0.02933518641027752,0.23636286737582007
auctioneer,-0.7068601950738487,-0.7068601950738487,-0.40458440657455197,-1.3275180775863145,-0.723054245610421,-0.40831428158508615
auditor,-0.4404825433100357,-0.4404825433100357,-0.16298691576315483,-1.166851726798539,-0.3912819376386898,-0.083554695758882
avatar,-0.6060258125992122,-0.6060258125992122,-0.3840808752515382,-1.3017318157231683,-0.5701195805595778,-0.2692100227525017
bard,-0.8726845238260114,-0.8726845238260114,-0.7260074266636347,-1.494073380388817,-0.906347778416262,-0.5960208499922364
bartender,-0.6132828662864531,-0.6132828662864531,-0.35988326314367974,-1.2753173603501362,-0.5983321859366146,-0.29775580612557284
biologist,-0.689731800446977,-0.689731800446977,-0.4069268064992153,-1.3821397243262739,-0.6555624755129077,-0.3587484190610266
blogger,-0.3846613730248635,-0.3846613730248635,-0.2886665449731649,-1.0687166277497477,-0.32375053270728266,-0.03892784465533061
bohemian,-1.0784791692361995,-1.0784791692361995,-0.9006354733130086,-1.7079337473249077,-1.0899426659588076,-0.7869478375763783
builder,-0.4182390244096606,-0.4182390244096606,-0.20234442948242576,-1.1829833281078757,-0.3359817963040306,-0.05598377559025192
caregiver,-0.43926015095321824,-0.43926015095321824,-0.23786601699648469,-1.1405880921634863,-0.38608202222738247,-0.09506268282255374
cartographer,-0.4469415470659584,-0.4469415470659584,-0.2048662923288198,-1.1859788981365074,-0.3797914159822595,-0.09326639624685613
caveman,-1.0778186687407896,-1.0778186687407896,-0.833586613891223,-1.686593759502483,-1.1271178531328228,-0.8379653627643571
celebrity,-0.634249748209339,-0.634249748209339,-0.4215227344465539,-1.268942886188665,-0.6453231779325119,-0.3287250238683228
chameleon,-0.43438042268214383,-0.43438042268214383,-0.22841935864314097,-1.1408516106759943,-0.37876390416431116,-0.08639619892957656
chef,-0.5640225883900215,-0.5640225883900215,-0.35235524909581795,-1.2672185937560159,-0.5048083969007178,-0.2241355004777044
chemist,-0.6587080131192562,-0.6587080131192562,-0.38230819078101236,-1.3734375860754207,-0.6296596692010605,-0.33815868655488984
chimera,-0.7331176490298743,-0.7331176490298743,-0.5185114039926204,-1.4240902483023614,-0.7235863021353774,-0.4114275342432798
coach,-0.2889211166987206,-0.2889211166987206,-0.11532547517663823,-1.0753618212881904,-0.18633718687136958,0.09059040850291718
collaborator,-0.2793260002931597,-0.2793260002931597,-0.10879834717271747,-1.0719097096975705,-0.1641023759661805,0.11361642147160332
collector,-0.4996157719984969,-0.4996157719984969,-0.2612567563181341,-1.2025108355033016,-0.446828518018863,-0.1527518854570602
